user_id;email;country;signup_date;deposit_amount;withdrawal_amount;login_count_last_7d;device_id;is_flagged
1001;john88@yahoo.com;Sweden;2024/11/01;500;490;14;device001;0
1002;sam77@gmail.com;Germany;2024/10/21;200;180;5;device002;0
1003;lisa33@yahoo.com;Sweden;2024/11/03;700;690;11;device003;0
1004;dave22@yahoo.com;Sweden;2024/11/02;300;290;9;device004;0
1005;anna@gmail.com;South Africa;2023/05/11;100;90;3;device005;0
1006;mike77@yahoo.com;Sweden;2024/11/04;800;790;10;device006;0
1007;emily23@gmail.com;Sweden;2024/09/14;250;240;6;device007;0
1008;tina@yahoo.com;Sweden;2024/11/05;900;890;13;device008;0
1009;rob_swe@yahoo.com;Sweden;2024/11/01;600;590;12;device009;0
1010;ben_uk@gmail.com;UK;2022/01/02;150;140;4;device010;0
