user_id,email,country,signup_date,deposit_amount,withdrawal_amount,login_count_last_7d,device_id,is_flagged
1001,wsoto@yahoo.com,Sweden,2025-03-22,767.4,673.71,4,ce36445a-7806-4e98-902b-cec4dccc3f49,0
1002,kyle61@yahoo.com,UK,2025-05-17,631.44,540.74,3,ef176d86-d414-467e-8eee-43edc34c59b6,0
1003,uflores@gmail.com,Germany,2025-03-13,554.82,474.54,7,136a2ed3-bb11-4aa0-926b-ac4e955d190e,0
1004,joseph81@aol.com,UK,2025-05-03,298.4,288.81,1,fd6e7845-a712-411d-bad7-9b7a855f64af,0
1005,nmeza@aol.com,Germany,2025-03-15,406.23,357.93,11,b323028c-0d57-4746-ae71-f3c902865dfb,0
1006,williamblanchard@yahoo.com,Sweden,2025-06-02,441.93,406.04,9,cc79b434-99f2-4eca-9f40-c2234981732f,0
1007,jason01@aol.com,Sweden,2025-04-05,582.61,608.61,13,d1d55704-eb62-4a39-af34-4e74402f6202,0
1008,pbailey@protonmail.com,Sweden,2025-03-25,363.86,355.03,12,c6061474-f1c7-4598-a246-1e60bf0df69a,0
1009,slindsey@gmail.com,UK,2025-05-23,734.11,630.72,8,f20fa1c0-759d-4226-8e51-68440932aa2a,0
1010,derek06@yahoo.com,South Africa,2025-05-27,869.79,890.05,13,7efaf927-7743-43fa-b417-a64bc04113ee,0
1011,dave40@aol.com,South Africa,2025-04-30,672.12,620.34,12,90e978a4-7254-4bbf-a3fa-6c499ccdcbbf,0
1012,ljohnson@gmail.com,South Africa,2025-03-23,703.16,696.38,3,01203d33-5260-4895-ae96-71042938e973,0
1013,melissa32@gmail.com,UK,2025-03-09,580.73,522.05,15,39dc969d-b672-463c-bfeb-da415549f15c,0
1014,hendersonjonathan@outlook.com,Norway,2025-04-11,990.57,968.78,18,7dd3363c-e234-4a12-88b0-8fa37a7b2ed9,0
1015,taylor19@outlook.com,Germany,2025-04-16,858.57,863.03,8,b6353d83-7b33-473f-8082-ad64e3cbce98,0
1016,ysmith@outlook.com,Sweden,2025-03-29,461.05,398.0,19,1bcdba19-80f7-4482-af29-dfebc0aeaef9,0
1017,kponce@gmail.com,South Africa,2025-03-13,689.89,640.99,15,313cc8fb-9d75-49ea-ad15-5d1891e7d0b1,0
1018,qwebb@outlook.com,Germany,2025-05-30,225.67,225.44,18,a89a287d-bd20-46f5-a584-e46afde3f5f2,0
1019,pnelson@protonmail.com,South Africa,2025-05-05,485.59,469.42,12,1c312666-4d8c-488a-a7a9-faf966042eec,0
1020,zmoore@gmail.com,Germany,2025-05-28,558.57,484.94,2,f4dd089c-4b07-4949-bc7b-1dbf46c932a5,0
1021,eddieramirez@gmail.com,Sweden,2025-03-19,664.7,670.29,14,17ee93d2-55b7-4619-9cde-7f911b33b850,0
1022,pscott@yahoo.com,UK,2025-03-21,446.29,432.53,15,168264f2-2297-4a86-882c-b299c39f71d1,0
1023,iavila@outlook.com,UK,2025-04-11,973.97,995.55,1,4d7537f0-320f-4024-bfbf-19e927d4c79f,0
1024,joelhunter@protonmail.com,Sweden,2025-03-11,775.79,778.68,11,16e46f02-794f-439f-b30f-cb58163951fb,0
1025,guerratimothy@outlook.com,Sweden,2025-04-06,491.29,462.18,9,034ae458-03b6-4268-9a9b-db1677d7f180,0
1026,chavezlori@gmail.com,UK,2025-03-08,556.91,485.23,10,269e9996-7ec5-4981-bebf-add264e323ae,0
